name,country_id
Ashkāsham,1
Fayzabad,1
Jurm,1
Khandūd,1
Rāghistān,1
Wākhān,1
Ghormach,1
Qala i Naw,1
Baghlān,1
Ḩukūmatī Dahanah-ye Ghōrī,1
Nahrīn,1
Pul-e Khumrī,1
Balkh,1
Dowlatābād,1
Khulm,1
Lab-Sar,1
Mazār-e Sharīf,1
Qarchī Gak,1
Bāmyān,1
Panjāb,1
Nīlī,1
Farah,1
Andkhoy,1
Maymana,1
Ghazni,1
Fayrōz Kōh,1
Shahrak,1
‘Alāqahdārī Dīshū,1
Gereshk,1
Lashkar Gāh,1
Markaz-e Ḩukūmat-e Darwēshān,1
Sangīn,1
Chahār Burj,1
Ghōriyān,1
Herāt,1
Kafir Qala,1
Karukh,1
Kuhsān,1
Kushk,1
Qarah Bāgh,1
Shīnḏanḏ,1
Tīr Pul,1
Zindah Jān,1
Āqchah,1
Darzāb,1
Qarqīn,1
Shibirghān,1
Kabul,1
Mīr Bachah Kōṯ,1
Paghmān,1
Kandahār,1
Sidqābād,1
Khōst,1
Asadabad,1
Āsmār,1
Dasht-e Archī,1
Imām Şāḩib,1
Khanabad,1
Kunduz,1
Qarāwul,1
Mehtar Lām,1
Baraki Barak,1
Ḩukūmatī Azrah,1
Pul-e ‘Alam,1
Bāsawul,1
Jalālābād,1
Markaz-e Woluswalī-ye Āchīn,1
Khāsh,1
Mīrābād,1
Rūdbār,1
Zaranj,1
Pārūn,1
Gardez,1
Saṟōbī,1
Zaṟah Sharan,1
Zarghūn Shahr,1
Bāzārak,1
Charikar,1
Jabal os Saraj,1
Aībak,1
Chīras,1
Larkird,1
Qal‘ah-ye Shahr,1
Sang-e Chārak,1
Sar-e Pul,1
Tagāw-Bāy,1
Tukzār,1
Ārt Khwājah,1
Taloqan,1
Tarinkot,1
Uruzgān,1
Qalāt,1
Banaj,3
Bashkia Berat,3
Bashkia Kuçovë,3
Bashkia Poliçan,3
Bashkia Skrapar,3
Berat,3
Çorovodë,3
Kuçovë,3
Poliçan,3
Rrethi i Beratit,3
Rrethi i Kuçovës,3
Rrethi i Skraparit,3
Ura Vajgurore,3
Bashkia Bulqizë,3
Bashkia Klos,3
Bashkia Mat,3
Bulqizë,3
Burrel,3
Klos,3
Peshkopi,3
Rrethi i Bulqizës,3
Rrethi i Dibrës,3
Rrethi i Matit,3
Ulëz,3
Bashkia Durrës,3
Bashkia Krujë,3
Bashkia Shijak,3
Durrës,3
Durrës District,3
Fushë-Krujë,3
Krujë,3
Rrethi i Krujës,3
Shijak,3
Sukth,3
Ballsh,3
Bashkia Divjakë,3
Bashkia Fier,3
Bashkia Mallakastër,3
Bashkia Patos,3
Divjakë,3
Fier,3
Fier-Çifçi,3
Lushnjë,3
Patos,3
Patos Fshat,3
Roskovec,3
Rrethi i Mallakastrës,3
Bashkia Dropull,3
Bashkia Kelcyrë,3
Bashkia Libohovë,3
Bashkia Memaliaj,3
Bashkia Përmet,3
Bashkia Tepelenë,3
Gjinkar,3
Gjirokastër,3
Këlcyrë,3
Lazarat,3
Libohovë,3
Memaliaj,3
Përmet,3
Tepelenë,3
Bashkia Devoll,3
Bashkia Kolonjë,3
Bashkia Maliq,3
Bashkia Pustec,3
Bilisht,3
Ersekë,3
Korçë,3
Leskovik,3
Libonik,3
Maliq,3
Mborje,3
Pogradec,3
Rrethi i Devollit,3
Rrethi i Kolonjës,3
Velçan,3
Voskopojë,3
Bajram Curri,3
Krumë,3
Kukës,3
Rrethi i Hasit,3
Rrethi i Kukësit,3
Bashkia Kurbin,3
Bashkia Lezhë,3
Bashkia Mirditë,3
Kurbnesh,3
Laç,3
Lezhë,3
Mamurras,3
Milot,3
Rrëshen,3
Rrethi i Kurbinit,3
Rubik,3
Shëngjin,3
Bashkia Malësi e Madhe,3
Bashkia Pukë,3
Bashkia Vau i Dejës,3
Fushë-Arrëz,3
Koplik,3
Pukë,3
Rrethi i Malësia e Madhe,3
Rrethi i Shkodrës,3
Shkodër,3
Vau i Dejës,3
Vukatanë,3
Bashkia Kavajë,3
Bashkia Vorë,3
Kamëz,3
Kavajë,3
Krrabë,3
Rrethi i Kavajës,3
Rrethi i Tiranës,3
Rrogozhinë,3
Sinaballaj,3
Tirana,3
Vorë,3
Bashkia Finiq,3
Bashkia Himarë,3
Bashkia Konispol,3
Bashkia Selenicë,3
Bashkia Vlorë,3
Delvinë,3
Himarë,3
Konispol,3
Ksamil,3
Orikum,3
Rrethi i Delvinës,3
Sarandë,3
Selenicë,3
Vlorë,3
Adrar,4
Aoulef,4
Reggane,4
Timimoun,4
Aïn Defla,4
El Abadia,4
El Attaf,4
Khemis Miliana,4
Theniet el Had,4
Aïn Temouchent,4
Beni Saf,4
El Amria,4
El Malah,4
Hammam Bou Hadjar,4
Aïn Taya,4
Algiers,4
Bab Ezzouar,4
Birkhadem,4
Bordj el Kiffan,4
Dar el Beïda,4
Rouiba,4
Annaba,4
Berrahal,4
Drean,4
El Hadjar,4
Aïn Touta,4
Arris,4
Barika,4
Batna,4
Boumagueur,4
Merouana,4
Râs el Aïoun,4
Tazoult-Lambese,4
Béchar,4
Akbou,4
Amizour,4
Barbacha,4
Bejaïa,4
el hed,4
El Kseur,4
Feraoun,4
Seddouk,4
Biskra,4
Oumache,4
Sidi Khaled,4
Sidi Okba,4
Tolga,4
Zeribet el Oued,4
Beni Mered,4
Blida,4
Boû Arfa,4
Boufarik,4
Bougara,4
Bouinan,4
Chebli,4
Chiffa,4
Larbaâ,4
Meftah,4
Sidi Moussa,4
Souma,4
Bordj Bou Arreridj,4
Bordj Ghdir,4
Bordj Zemoura,4
El Achir,4
Mansourah,4
Melouza,4
Râs el Oued,4
Aïn Bessem,4
Bouïra,4
Chorfa,4
Draa el Mizan,4
Lakhdaria,4
Sour el Ghozlane,4
Arbatache,4
Beni Amrane,4
Boudouaou,4
Boumerdas,4
Chabet el Ameur,4
Dellys,4
Khemis el Khechna,4
Makouda,4
Naciria,4
Ouled Moussa,4
Reghaïa,4
Tadmaït,4
Thenia,4
Tizi Gheniff,4
Abou el Hassan,4
Boukadir,4
Chlef,4
Ech Chettia,4
Oued Fodda,4
Oued Sly,4
Sidi Akkacha,4
’Aïn Abid,4
Aïn Smara,4
Constantine,4
Didouche Mourad,4
El Khroub,4
Hamma Bouziane,4
’Aïn el Bell,4
Aïn Oussera,4
Birine,4
Charef,4
Dar Chioukh,4
Djelfa,4
El Idrissia,4
Messaad,4
Brezina,4
El Abiodh Sidi Cheikh,4
El Bayadh,4
Debila,4
El Oued,4
Reguiba,4
Robbah,4
Ben Mehidi,4
Besbes,4
El Kala,4
El Tarf,4
Berriane,4
Ghardaïa,4
Metlili Chaamba,4
Boumahra Ahmed,4
Guelma,4
Héliopolis,4
Illizi,4
Jijel,4
Khenchela,4
Aflou,4
Laghouat,4
‘Aïn el Hadjel,4
’Aïn el Melh,4
M’Sila,4
Sidi Aïssa,4
Bou Hanifia el Hamamat,4
Mascara,4
Oued el Abtal,4
Sig,4
’Aïn Boucif,4
Berrouaghia,4
Ksar el Boukhari,4
Médéa,4
Chelghoum el Aïd,4
Mila,4
Rouached,4
Sidi Mérouane,4
Telerghma,4
Mostaganem,4
Aïn Sefra,4
Naama,4
’Aïn el Turk,4
Aïn el Bya,4
Bir el Djir,4
Bou Tlelis,4
Es Senia,4
Mers el Kebir,4
Oran,4
Sidi ech Chahmi,4
Djamaa,4
El Hadjira,4
Hassi Messaoud,4
Megarine,4
Ouargla,4
Rouissat,4
Sidi Amrane,4
Tebesbest,4
Touggourt,4
Aïn Beïda,4
Aïn Fakroun,4
Aïn Kercha,4
El Aouinet,4
Meskiana,4
Oum el Bouaghi,4
’Aïn Merane,4
Ammi Moussa,4
Djidiouia,4
Mazouna,4
Oued Rhiou,4
Relizane,4
Smala,4
Zemoura,4
’Aïn el Hadjar,4
Saïda,4
Aïn Arnat,4
BABOR - VILLE,4
Bougaa,4
El Eulma,4
Salah Bey,4
Sétif,4
Aïn El Berd District,4
Balidat Ameur,4
Belarbi,4
Ben Badis,4
Djamaa,4
El Bour,4
El Hadjira,4
Haoud El Hamra,4
Hassi Messaoud,4
Lamtar,4
Marhoum,4
Megarine,4
Merine,4
Mezaourou,4
Moggar,4
Moulay Slissen,4
N'Goussa,4
Ouargla,4
Rouissat,4
Sfissef,4
Sidi Ali Boussidi,4
Sidi Amrane,4
Sidi Bel Abbès,4
Sidi Brahim,4
Sidi Hamadouche,4
Sidi Slimane,4
Sidi Yacoub,4
Sidi Yahia,4
Tabia,4
Taibet,4
Tamellaht,4
Tamerna Djedida,4
Tebesbest,4
Teghalimet,4
Telagh,4
Tenezara,4
Tenira,4
Tessala,4
Touggourt,4
Zerouala,4
Azzaba,4
Karkira,4
Skikda,4
Tamalous,4
Sedrata,4
Souk Ahras,4
I-n-Salah,4
Tamanrasset,4
Bir el Ater,4
Cheria,4
Hammamet,4
Tébessa,4
’Aïn Deheb,4
Djebilet Rosfa,4
Frenda,4
Ksar Chellala,4
Mehdia daira de meghila,4
Sougueur,4
Tiaret,4
Tindouf,4
’Aïn Benian,4
Baraki,4
Bou Ismaïl,4
Cheraga,4
Douera,4
El Affroun,4
Hadjout,4
Kolea,4
Mouzaïa,4
Oued el Alleug,4
Saoula,4
Tipasa,4
Zeralda,4
Lardjem,4
Tissemsilt,4
’Aïn el Hammam,4
Arhribs,4
Azazga,4
Beni Douala,4
Boghni,4
Boudjima,4
Chemini,4
Draa Ben Khedda,4
Freha,4
Ighram,4
L’Arbaa Naït Irathen,4
Mekla,4
Timizart,4
Tirmitine,4
Tizi Ouzou,4
Tizi Rached,4
Tizi-n-Tleta,4
Beni Mester,4
Bensekrane,4
Chetouane,4
Hennaya,4
Mansoûra,4
Nedroma,4
Ouled Mimoun,4
Remchi,4
Sebdou,4
Sidi Abdelli,4
Sidi Senoussi سيدي سنوسي,4
Tlemcen,4
Andorra la Vella,6
Canillo,6
El Tarter,6
Encamp,6
Pas de la Casa,6
les Escaldes,6
Arinsal,6
la Massana,6
Ordino,6
Sant Julià de Lòria,6
Caxito,7
Benguela,7
Catumbela,7
Lobito,7
Camacupa,7
Catabola,7
Chissamba,7
Cuito,7
Cabinda,7
Menongue,7
Camabatela,7
N’dalatando,7
Quibala,7
Sumbe,7
Uacu Cungo,7
Ondjiva,7
Caála,7
Chela,7
Huambo,7
Longonjo,7
Caconda,7
Caluquembe,7
Chibia,7
Chicomba,7
Chipindo,7
Cuvango,7
Gambos,7
Humpata,7
Jamba,7
Lubango,7
Matala,7
Quilengues,7
Quipungo,7
Belas,7
Icolo e Bengo,7
Luanda,7
Lucapa,7
Cazaji,7
Saurimo,7
Malanje,7
Léua,7
Luau,7
Luena,7
Lumeje,7
Uíge,7
Mbanza Congo,7
N'zeto,7
Soio,7
Codrington,10
Piggotts,10
Potters Village,10
Saint John’s,10
Bolands,10
Falmouth,10
Liberta,10
All Saints,10
Parham,10
Balvanera,11
Barracas,11
Belgrano,11
Boedo,11
Buenos Aires,11
Colegiales,11
Retiro,11
Villa Lugano,11
Villa Ortúzar,11
Villa Santa Rita,11
Ancasti,11
Andalgalá,11
Antofagasta de la Sierra,11
Capayán,11
Departamento de Ambato,11
Departamento de Ancasti,11
Departamento de Andalgalá,11
Departamento de Antofagasta de la Sierra,11
Departamento de Capayán,11
Departamento de Capital,11
Departamento de El Alto,11
Departamento de Fray Mamerto Esquiú,11
Departamento de La Paz,11
Departamento de Pomán,11
Departamento de Santa María,11
Departamento de Santa Rosa,11
Departamento de Tinogasta,11
Departamento de Valle Viejo,11
El Rodeo,11
Fiambalá,11
Hualfín,11
Huillapima,11
Icaño,11
La Puerta de San José,11
Londres,11
Los Altos,11
Los Varela,11
Mutquín,11
Pomán,11
Puerta de Corral Quemado,11
Recreo,11
San Antonio,11
San Fernando del Valle de Catamarca,11
Santa María,11
Tinogasta,11
Aviá Terai,11
Barranqueras,11
Basail,11
Campo Largo,11
Capitán Solari,11
Castelli,11
Charadai,11
Charata,11
Chorotis,11
Ciervo Petiso,11
Colonia Benítez,11
Colonia Elisa,11
Colonias Unidas,11
Concepción del Bermejo,11
Coronel Du Graty,11
Corzuela,11
Coté-Lai,11
Departamento de Almirante Brown,11
Departamento de Bermejo,11
Departamento de Comandante Fernández,11
Departamento de Doce de Octubre,11
Departamento de Dos de Abril,11
Departamento de General Donovan,11
Departamento de General Güemes,11
Departamento de Independencia,11
Departamento de Libertad,11
Departamento de Maipú,11
Departamento de Nueve de Julio,11
Departamento de O’Higgins,11
Departamento de Presidencia de la Plaza,11
Departamento de Quitilipi,11
Departamento de San Fernando,11
Departamento de San Lorenzo,11
Departamento de Sargento Cabral,11
Departamento de Tapenagá,11
Fontana,11
Gancedo,11
